# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_upstream_gene_variant
ATM	ENSG00000149311	ENST00000278616	protein_coding	1	0	0	0	0	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	1	0	0	0	0	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000524792	retained_intron	0	0	1	0	0	0	0	0	1	0	0
ATM	ENSG00000149311	ENST00000525537	retained_intron	0	0	1	0	0	0	0	0	1	0	0
ATM	ENSG00000149311	ENST00000527389	retained_intron	0	0	1	0	0	0	0	0	1	0	0
ATM	ENSG00000149311	ENST00000533690	retained_intron	0	0	1	0	0	0	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000309486	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000346315	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000351666	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	1	0	1	0	0	0	2	0	0	1	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000461221	nonsense_mediated_decay	1	0	2	1	0	0	1	0	1	1	0
BRCA1	ENSG00000012048	ENST00000461798	nonsense_mediated_decay	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000467274	retained_intron	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000472490	retained_intron	0	0	1	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	1	1	0	0	0	0	1	0	0	1
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000489037	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000492859	nonsense_mediated_decay	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	1	1	0	0	0	0	1	1	0	1	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	1	0	0	0	0	0	1	0	0	1	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	1	1	0	0	0	1	1	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	1	1	0	0	0	1	1	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	2	0	0	0	2	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	1	0	1	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	1	0	0	0	1	0	0	0	0
C11orf65	ENSG00000166323	ENST00000527531	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0	0
PALB2	ENSG00000083093	ENST00000261584	protein_coding	1	0	0	0	0	1	0	0	0	0	0
PALB2	ENSG00000083093	ENST00000561514	protein_coding	0	0	1	0	1	0	0	0	0	0	0
PALB2	ENSG00000083093	ENST00000565038	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0	0
PALB2	ENSG00000083093	ENST00000567003	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0	0
PALB2	ENSG00000083093	ENST00000568219	nonsense_mediated_decay	0	0	2	1	0	0	0	0	1	0	0
